Product,Quantity,Price
T - Shirts,3,248.0
Shirts,3,196.0
Jeans,2,218.0
Suits,5,109.0
Sports Wear,5,85.0
Casula Shoes,3,122.0
Running Shoes,4,224.0
Formal Shoes,3,213.0
Sneakers,2,62.0
Titak watch,1,228.0
Fossil Watch,1,159.0
T - Shirts,5,248.0
Shirts,5,196.0
Jeans,5,218.0
Suits,2,109.0
Sports Wear,3,85.0
Casula Shoes,4,122.0
Running Shoes,3,224.0
Formal Shoes,1,213.0
Sneakers,1,62.0
Titak watch,3,228.0
Fossil Watch,1,159.0
T - Shirts,1,248.0
Shirts,1,196.0
Jeans,4,218.0
Suits,3,109.0
Sports Wear,3,85.0
Casula Shoes,2,122.0
Running Shoes,4,224.0
Formal Shoes,4,213.0
Sneakers,1,62.0
Titak watch,2,228.0
Fossil Watch,4,159.0
T - Shirts,3,248.0
Shirts,3,196.0
Jeans,2,218.0
Suits,5,109.0
Sports Wear,5,85.0
Casula Shoes,4,122.0
Running Shoes,2,224.0
Formal Shoes,1,213.0
Sneakers,3,62.0
Titak watch,3,228.0
Fossil Watch,5,159.0
T - Shirts,3,248.0
Shirts,1,196.0
Jeans,5,218.0
Suits,1,109.0
Sports Wear,4,85.0
Casula Shoes,2,122.0
Running Shoes,1,224.0
Formal Shoes,4,213.0
Sneakers,1,62.0
Titak watch,3,228.0
Fossil Watch,1,159.0
T - Shirts,3,248.0
Shirts,2,196.0
Jeans,4,218.0
Suits,2,109.0
Sports Wear,4,85.0
Casula Shoes,5,122.0
Running Shoes,1,224.0
Formal Shoes,1,213.0
Sneakers,2,62.0
Titak watch,3,228.0
Fossil Watch,3,159.0
T - Shirts,3,248.0
Shirts,2,196.0
Jeans,4,218.0
Suits,5,109.0
Sports Wear,4,85.0
Casula Shoes,4,122.0
Running Shoes,4,224.0
Formal Shoes,3,213.0
Sneakers,2,62.0
Titak watch,1,228.0
Fossil Watch,4,159.0
T - Shirts,4,248.0
Shirts,5,196.0
Jeans,3,218.0
Suits,4,109.0
Sports Wear,1,85.0
Casula Shoes,1,122.0
Running Shoes,1,224.0
Formal Shoes,3,213.0
Sneakers,1,62.0
Titak watch,4,228.0
Fossil Watch,5,159.0
T - Shirts,2,248.0
Shirts,3,196.0
Jeans,5,218.0
Suits,5,109.0
Sports Wear,3,85.0
Casula Shoes,2,122.0
Running Shoes,2,224.0
Formal Shoes,1,213.0
Sneakers,5,62.0
Titak watch,2,228.0
Fossil Watch,4,159.0
T - Shirts,3,248.0
Shirts,3,196.0
Jeans,1,218.0
Suits,5,109.0
Sports Wear,3,85.0
Casula Shoes,1,122.0
Running Shoes,3,224.0
Formal Shoes,1,213.0
Sneakers,1,62.0
Titak watch,2,228.0
Fossil Watch,2,159.0
T - Shirts,3,248.0
Shirts,4,196.0
Jeans,1,218.0
Suits,1,109.0
Sports Wear,4,85.0
Casula Shoes,5,122.0
Running Shoes,2,224.0
Formal Shoes,5,213.0
Sneakers,2,62.0
Titak watch,3,228.0
Fossil Watch,3,159.0
T - Shirts,4,248.0
Shirts,1,196.0
Jeans,5,218.0
Suits,1,109.0
Sports Wear,2,85.0
Casula Shoes,2,122.0
Running Shoes,2,224.0
Formal Shoes,1,213.0
Sneakers,4,62.0
Titak watch,5,228.0
